Word,Count
Purchased,76
Night,76
Opening,76
Recent,75
Pack,75
Whole,75
Ended,75
Reviews,75
Spin,75
Refresh,75
Purchases,75
Tired,75
Taken,75
6,75
Together,74
Once,74
Enjoyable,74
Type,74
Unlock,74
Images,74
Believe,74
Hints,74
Flight,74
Sadly,74
Block,73
While,73
Folder,73
Streak,73
Answer,73
Course,73
Phones,73
Spot,73
Higher,73
Local,72
Learn,72
Bloody,72
Options,72
Default,72
Person,72
Apart,72
Developer,72
Solutions,72
Such,71
Pops,71
Stops,71
Provide,71
Towards,71
Prefer,71
Hated,71
Runs,71
Press,71
Shouldn't,71
Repeatedly,71
Min,71
Attention,71
Third,70
Crappy,70
Updating,70
Top,70
Interesting,70
Because,70
Disappeared,70
Controls,70
Finger,69
Frustrating!,69
Basically,69
Broken,69
Itself,69
Club,69
Reset,69
Design,69
Sick,69
Taking,68
Contact,68
Empty,68
Huge,68
Addition,68
Members,68
Profiles,68
Brings,68
Alright,68
Glitching,68
Upgrades,67
Image,67
Story,67
Doesn't,67
Be,67
Pisses,67
Double,67
Name,66
Notification,66
Happen,66
Based,66
Volume,66
Content,66
Showed,66
Control,66
100,65
Force,65
Hi,65
B,65
Forget,65
Ones,64
Wants,64
Tips,64
Streaks,64
Whatever,64
Hoping,64
Honest,64
Were,64
Reading,64
Service,64
Fall,64
Practice,64
We're,64
Drive,63
Modes,63
Rid,63
Landscape,63
Accidentally,63
Lock,63
Enemy,63
Computer,63
Pot,63
Any,62
Losing,62
Frustrated,62
Complaint,62
Despite,62
Live,62
Badly,62
Popped,62
Except,62
Bird,62
Inside,62
Restarts,62
Pocket,61
Report,61
Lol,61
Entertaining,61
Select,61
Degrees,61
Kept,61
Agree,61
Section,61
Suggestions,61
Network,61
Episode,61
Color,61
Probably,61
15,61
Profile,61
Has,61
Hopefully,61
Stats,61
Basic,61
Stay,60
Puts,60
Improve,60
Code,60
Hold,60
Fill,60
Three,60
Kids,60
Roulette,60
Cheat,60
Lame,60
Did,60
Searching,60
Tho,60
Cloud,59
Your,59
Job,59
Revenue,59
Claim,59
Voice,59
Worry,59
Review:,59
Suck,59
Crash,59
Ridiculously,58
Bigger,58
Everywhere,58
Lack,58
Article,58
Couple,58
Angle,58
Needed,58
Car,58
Plane,58
50,58
Loads,58
Payment,58
Security,58
Fed,58
Total,58
Doesnt,58
Intrusive,58
Track,58
Loose,58
Locks,58
Wasted,58
Id,58
Means,58
Max,58
Choices,57
Memory,57
Common,57
Colors,57
World,57
Truly,57
Worthless,57
Pathetic,57
Amazon,57
Hand,57
Ways,57
Transactions,57
Looks,57
Plan,56
9,56
None,56
Shopping,56
Functions,56
Screens,56
Main,56
Pvp,56
Reinstalling,56
Repetition,56
Notebook,56
It?,56
German,56
Sucks!,56
Turned,56
Finnish,55
Unresponsive,55
Notifications,55
Prizes,55
Ran,55
Candies,55
Slightly,55
Annoying!,55
Forward,55
Somehow,55
Require,55
Comments,55
Let's,55
Choice,55
Anyway,54
Should,54
Chat,54
Addictive!!,54
Alone,54
Hell,54
Alternative,54
Reinstall,54
Watched,54
Generous,54
Loss,54
Became,54
Own,54
Increased,54
Advertising,54
Upgraded,54
English,54
Friend's,53
Drop,53
Disable,53
Pages,53
Solve,53
Painful,53
Reload,53
Touch,53
Sort,53
Over,53
Adding,52
Deal,52
Embarrassing,52
Gotten,52
Youtube,52
Timer,52
Asap,52
Somebody,52
Privacy,52
Within,52
Worked,52
Death,52
Unfair,52
Hanging,52
60,52
Infuriating,52
App!,52
Recognize,52
Jump,52
Considering,51
Diamond,51
Bucks,51
Sync,51
Opponents,51
Depending,51
Biggest,51
Y'all,51
Pointing,51
Tedious,51
Bonuses,51
Massive,51
Clicking,51
Back?,51
Piece,51
Leaving,51
Exact,51
Feed,51
Themes,51
Thinking,50
Improved,50
Offers,50
Dead,50
Seemed,50
Tech,50
Yes,49
Skills,49
Gmail,49
Whats,49
Relaxing,49
Premium,49
Restarted,49
Quality,49
Large,49
Lately,49
Dark,49
Rooted,49
Automatic,49
Faster,49
Level!!,49
Tetris,48
Task,48
Decides,48
Product,48
Box,48
Hits,48
Selection,48
Whether,48
Website,48
Advertisement,48
Cash,48
Dumb,48
One's,48
Scam,48
Battle,48
Replay,48
Interface,48
Clan,48
Designed,48
Join,48
Sugar,48
Development,48
Weather,48
Member,48
Appreciate,48
Hang,47
Pull,47
Wonder,47
Bring,47
Comes,47
Struggled,47
Long!,47
Awards,47
Format,47
Creator,47
Include,47
Having,47
Compared,47
Help!,47
God,47
Backup,47
Putting,47
Sold,46
Or,46
Am,46
Note,46
Remaining,46
Train,46
Behavior,46
Yours,46
Posts,46
Standings,46
Ps,46
Selected,46
Services,46
Suggesting,46
2500,46
Liking,46
Liked,46
Features,46
Upset,45
P,45
Popups,45
Killed,45
Gyft,45
Seriously?,45
Funny,45
From,45
Garena,45
Awesome,45
Similar,45
Scrolling,45
Solid,45
Keeping,45
Appears,45
Assistance,45
Upgrading,45
Blue,45
1969,45
Seeing,45
Refer,45
Greedy!,45
Dozens,45
These,45
Ad-free,45
Kinda,45
Hacked,45
Bricks,44
Trash,44
Busy,44
Aid,44
Calls,44
Ruin,44
Unnecessary,44
Hundred,44
Hint,44
Along,44
Contacts,44
Supposed,44
Tempted,44
Case,44
Major,44
Spinner,44
Arrow,44
Virus,44
He's,44
Minus,44
Throw,44
Atleast,44
Assist,44
Tells,44
Example,44
Currency,44
Stuttering,44
Stack,44
Gifts,44
Amounts,43
Intuitive,43
Ship,43
Process,43
Transfer,43
Permanently,43
Owl,43
500,43
Challenges,43
Serious,43
Glitchy,43
Favourite,43
Figure,43
Final,43
Auto,43
Expect,43
Unbelievable,43
Applies,43
Push,43
Buffering,43
Fox,43
Boat,43
Squares,43
Stage,43
Helpers,43
Tied,43
Inconsistent,43
Frequently,43
Turns,43
Succeeded,42
Icon,42
Overcome,42
Beware,42
Addiction,42
Dissappointed!!!,42
Scheme,42
Lowered,42
+level,42
Logging,42
'suggestions',42
Flow,42
Bouncing,42
